Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1565.898626,1585.9303,1764.347074,1930.837478,2068.040516,2233.872605,2356.879714,2483.070106,2610.458255,2789.277502,2866.752031,3091.69129,3395.993116,3642.276894,3871.063952,4197.302665,4561.347676,5476.797771,5780.845171,6139.82066,6878.602685,7498.955522,8144.003217,8240.42958,8961.582684,9856.649371,10890.35815,11649.83204,11932.85634,12864.77801,12434.67452,13423.42887,,,
Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5818.048031,6280.327242,6424.180936,6511.940032,6703.052249,7134.510141,7501.419817,8076.29333,8023.35235,8733.830745,8922.369978,8964.846692,9478.566744,9937.097046,10298.30689,10907.36705,11957.57524,12739.30275,13136.44087,11119.80616,12139.74973,12976.5292,12091.68763,12880.30526,14417.01321,13518.48486,15416.58452,14817.57128,14805.29163,14889.8073,14208.27016,16651.5337,18555.38489,,
Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.1773245,632.0159695,585.9525806,582.8728009,605.1552947,644.3679787,613.6512745,639.2801578,658.4702554,672.8071176,652.3937607,681.3600112,701.3401453,660.417846,703.377201,715.7262427,757.6183289,798.8360794,813.8320694,870.4223047,902.7815842,945.5931285,1025.920939,686.2023311,673.393561,738.5564308,793.9249208,847.8639336,867.3925659,934.8155432,1003.148677,1057.194395,1112.442839,,
Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20229.75587,20224.68733,20626.20206,21440.04699,22632.83409,23485.64193,24050.17501,25258.86056,26319.67416,27841.35335,29362.08416,30230.80297,30963.053,32349.94366,33925.70673,36327.22865,38119.4132,39575.30975,40376.30688,38865.41346,40099.44824,41666.70763,42290.96541,44298.57873,45753.75055,44670.08054,46472.34025,48317.17458,49992.76228,50522.16024,48380.68443,55634.82758,61380.19839,,
Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7092.208888,6646.411598,6687.601344,6956.117994,7395.322656,7990.280618,8399.111581,8704.631211,9097.05903,9396.468918,10015.98635,10801.61994,11679.84113,12341.02746,13483.86356,14312.60491,15921.82182,17765.63343,19675.79613,19702.07683,20822.48154,22310.98677,23108.84855,23862.04537,24928.83475,26136.32759,27755.27999,29831.6307,32013.87754,35470.73044,35840.37863,39897.0528,45181.6891,,
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28442.3316,28773.01394,29093.32385,29475.75005,30245.37597,30821.43705,31497.74196,32728.01142,33857.65317,34742.63186,36695.20706,37822.92751,38704.95846,38737.30793,40176.57074,41524.84887,46275.54948,50929.4927,53808.78411,52971.37328,54432.33308,57493.58106,59440.91586,61656.46617,63417.04372,65265.04573,67350.75187,68193.50549,70688.81875,73732.23533,72997.82395,81603.20731,90746.45328,,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4437.055218,4872.139688,5533.632681,6026.750096,6473.886967,7250.188762,7959.485754,8581.436492,8927.836442,8921.986048,9468.318766,9876.225078,10239.38529,10820.67162,11735.17617,12685.02796,15676.58343,16875.71456,16550.44891,16118.37675,18104.7246,20330.5246,21584.68127,22425.58942,22779.42767,22691.48662,23492.28786,24546.91242,25564.53672,25853.76963,25464.85086,29148.24245,31436.57534,,
China,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.4192074,1093.566229,1262.025483,1454.491592,1660.34688,1860.525063,2060.8681,2266.728838,2448.482291,2650.178686,2917.24253,3208.229957,3532.081651,3938.730275,4427.131003,5056.404724,5842.778636,6818.923409,7581.453513,8305.760185,9254.779604,10292.94048,11233.97277,12011.68059,12700.44402,13201.67383,13882.02805,14750.36583,16006.91312,17262.1759,17891.48029,20406.72966,22499.37901,,
Cote d'Ivoire,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756.253537,2744.91063,2698.279466,2657.932273,2640.380552,2787.38002,2952.262367,3180.317303,3242.547529,3227.520171,3202.951743,3121.727849,3007.357264,2852.020434,2952.041262,3005.998332,3116.371153,3166.671537,3310.47535,3379.412565,3577.706982,3384.930979,3508.457834,3855.865463,4345.616675,4711.492844,4862.918019,5046.047689,5327.824985,5900.207549,5974.546026,6432.626663,7171.632653,,
Cameroon,CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.180376,1943.942149,1870.869795,1712.721313,1731.904671,1769.433732,1827.475086,1892.156976,1951.600648,2014.298885,2083.234248,2164.670413,2236.100696,2339.840649,2502.379084,2567.223587,2673.563213,2786.085597,2838.695078,2848.329956,2882.7507,2957.163456,3027.17972,3204.361753,3385.476353,3459.780244,3587.616119,3726.56739,3967.521705,4195.670175,4319.218871,4741.76177,5122.629899,,
